,movie_id,movie_date,movie_condition,movie_index,cell_id,cell_mean_speed,cell_initial_distance
89,24,402,Apyrase,1,12,0.025054449805879807,762.5814848300894
90,24,402,Apyrase,1,13,0.05919559897853465,857.1725996095255
91,24,402,Apyrase,1,14,0.07459175111805637,841.3127046914867
92,11,404,Apyrase,1,0,0.06954597152038881,133.2628209943417
93,11,404,Apyrase,1,1,0.04688737126925059,185.15588873430224
94,11,404,Apyrase,1,2,0.07208296112620256,149.59047351097703
95,11,404,Apyrase,1,3,0.07376255625428976,203.06813260280146
96,11,404,Apyrase,1,4,0.053299457265572434,240.5890643993139
97,11,404,Apyrase,1,5,0.0532839450432187,425.5408674849825
98,11,404,Apyrase,1,6,0.06597095925054272,482.063094654198
99,11,404,Apyrase,1,7,0.04719299652237228,508.76376947758416
100,11,404,Apyrase,1,8,0.052169273078596486,441.6635641308444
101,11,404,Apyrase,1,9,0.04048752781508865,504.04329019456145
102,11,404,Apyrase,1,10,0.04874403407138162,773.0045721990354
103,11,404,Apyrase,1,11,0.03222581351460631,799.3079578017176
104,11,404,Apyrase,1,12,0.05335475702785798,714.1201170546509
105,11,404,Apyrase,1,13,0.0058301851816084495,728.1000073880157
106,11,404,Apyrase,1,14,0.01641459326413678,865.4005681369869
107,9,409,Apyrase,1,0,0.05116363004639021,167.62977170937677
108,9,409,Apyrase,1,1,0.03830035156673431,193.25945232950195
109,9,409,Apyrase,1,2,0.02614651977239744,220.49595894612344
110,9,409,Apyrase,1,3,0.06606724719108518,160.2577657190523
111,9,409,Apyrase,1,4,0.05122898950432848,152.22264420030095
112,9,409,Apyrase,1,5,0.06885504177854833,458.9463639341444
113,9,409,Apyrase,1,6,0.021690372226350254,473.9494220993629
114,9,409,Apyrase,1,7,0.07785011692136198,443.09001180220446
115,9,409,Apyrase,1,8,0.07252846391658166,464.85786408279205
116,9,409,Apyrase,1,9,0.0499276850638903,437.0184491305103
117,9,409,Apyrase,1,10,0.05801185295515627,808.1708794130657
118,9,409,Apyrase,1,11,0.03756430993458711,808.5356949988127
119,9,409,Apyrase,1,12,0.03362567189440122,766.9720628924983
120,9,409,Apyrase,1,13,0.07301067204438035,830.2114962340177
121,9,409,Apyrase,1,14,0.07729968937065164,762.5295509220523
122,7,410,Water,1,0,,197.50476541137164
123,7,410,Water,1,1,1.6343006144330143e-07,112.92772565357245
124,7,410,Water,1,2,8.873583920843027e-06,180.04536914672832
125,7,410,Water,1,3,5.815496789075144e-05,186.06868933121604
126,7,410,Water,1,4,4.714038671191093e-05,109.02988101356794
127,7,410,Water,1,5,5.257130684001142e-05,433.10781101275893
128,7,410,Water,1,6,,446.5055567334334
129,7,410,Water,1,7,0.00028696711428968227,409.00431303346323
130,7,410,Water,1,8,-1.8577573951336418e-05,491.86686980812755
131,7,410,Water,1,9,3.008184375766282e-05,468.09608359502283
132,7,410,Water,1,10,8.461133315471633e-05,737.9208952654858
133,7,410,Water,1,11,5.353020501539922e-06,708.2387567120072
134,7,410,Water,1,12,-5.678219794526117e-19,761.5934504862261
135,7,410,Water,1,13,-7.94908983083774e-19,803.9663317094911
136,7,410,Water,1,14,-4.1758606229807476e-18,855.6649902136273
137,5,410,Apyrase,1,0,0.0258198106942648,154.91641199881937
138,5,410,Apyrase,1,1,0.044132688492923636,152.87987432590097
139,5,410,Apyrase,1,2,0.033888991714171326,131.86889692041436
140,5,410,Apyrase,1,3,0.029054805635925798,187.6794907910499
141,5,410,Apyrase,1,4,0.031320060084515385,197.84454757481996
142,5,410,Apyrase,1,5,0.042009604682147594,424.92186766314353
143,5,410,Apyrase,1,6,0.03499388336465562,418.89913381429545
144,5,410,Apyrase,1,7,,383.5043713393409
145,5,410,Apyrase,1,8,0.028067581199775055,349.8881685204852
146,5,410,Apyrase,1,9,0.031029423917763237,458.40844324047504
147,5,410,Apyrase,1,10,0.03329580145829742,815.5269937091091
148,5,410,Apyrase,1,11,0.041906298584859995,862.9842277882194
149,5,410,Apyrase,1,12,0.012970355737661567,916.8152058577252
150,5,410,Apyrase,1,13,0.0099993220218648,769.3456322755611
151,5,410,Apyrase,1,14,0.020187333047125954,829.831776008845
152,8,411,Water,1,0,0.07400034555635815,102.11854729768787
153,8,411,Water,1,1,0.10490033257199853,166.7774789670661
154,8,411,Water,1,2,0.08418318450976613,147.5105078280275
155,8,411,Water,1,3,0.05982371620608935,190.33289457889902
156,8,411,Water,1,4,0.10095670717869781,272.5995299158431
157,8,411,Water,1,5,0.14137662089283015,537.7042466003502
158,8,411,Water,1,6,0.21585293068676178,585.693819937447
159,8,411,Water,1,7,0.16117168073176807,601.5377265565063
160,8,411,Water,1,8,0.03738049600743123,594.7148279878422
161,8,411,Water,1,9,0.16708111049405494,469.3029992316966
162,8,411,Water,1,10,0.15316780029741242,960.4691100053365
163,8,411,Water,1,11,0.1795283978958066,989.4141500261799
164,8,411,Water,1,12,0.13696503724447603,929.8553257855064
165,8,411,Water,1,13,0.06192397752172449,888.6707359090277
166,8,411,Water,1,14,0.21196383886839518,1020.6086697490128
167,13,416,Water,1,0,0.08297199805684766,187.1176810202211
168,13,416,Water,1,1,0.08682703668055299,166.08608803616855
169,13,416,Water,1,2,0.09946866294033421,136.27714450885364
170,13,416,Water,1,3,0.0832053429394432,147.24895447205833
171,13,416,Water,1,4,0.08122863473574803,163.12821776961906
172,13,416,Water,1,5,0.0929234248806266,111.69215182817514
173,13,416,Water,1,6,0.09739780569427373,479.8070166389572
